2020-08-03 03:48:38,203 DEBUG    [server] function "check_settings" called from "<module>", params = ([],), {}
2020-08-03 03:48:38,205 DEBUG    [server] function "parse_cli_flags" called from "check_settings", params = ([],), {}
2020-08-03 03:48:38,246 CRITICAL [server] Trying to bind server to an incorrect IP: 
2020-08-03 03:49:01,080 DEBUG    [server] function "check_settings" called from "<module>", params = (['-a', '127.0.0.1', '-p', '7777'],), {}
2020-08-03 03:49:01,081 DEBUG    [server] function "parse_cli_flags" called from "check_settings", params = (['-a', '127.0.0.1', '-p', '7777'],), {}
2020-08-03 03:49:01,120 INFO     [server] Listening on "127.0.0.1":7777
2020-08-03 03:49:37,473 DEBUG    [server] function "receive_message" called from "run", params = (<socket.socket fd=556, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8150)>, <Logger server (DEBUG)>), {}
2020-08-03 03:49:37,474 INFO     [server] <- Received message from ('127.0.0.1', 8150): {'action': 'presence', 'time': 1596415777, 'type': 'status', 'user': {'account_name': 'Guest', 'status': 'online'}}
2020-08-03 03:49:37,474 DEBUG    [server] function "check_presence" called from "run", params = ({'action': 'presence', 'time': 1596415777, 'type': 'status', 'user': {'account_name': 'Guest', 'status': 'online'}},), {}
2020-08-03 03:49:37,492 DEBUG    [server] function "send_response" called from "run", params = (<Server(Thread-1, started daemon 7880)>, {'action': 'presence', 'time': 1596415777, 'type': 'status', 'user': {'account_name': 'Guest', 'status': 'online'}}, <socket.socket fd=556, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8150)>), {}
2020-08-03 03:49:37,493 DEBUG    [server] function "process_action" called from "send_response", params = ({'action': 'presence', 'time': 1596415777, 'type': 'status', 'user': {'account_name': 'Guest', 'status': 'online'}},), {}
2020-08-03 03:49:37,493 DEBUG    [server] function "form_response" called from "send_response", params = (200,), {}
2020-08-03 03:49:37,493 DEBUG    [server] Formed response: {'response': 200, 'time': 1596415777, 'alert': 'OK'}
